"Id";"Name";"Start";"End";"Duration";"Resources";"Effort";"Children";"Precursors";"Link to GitHub"
"start";"Project start";"2016-11-01";"2016-11-01";0.0;"";0.0;"";"";""
"data";"Data";"2016-11-01";"2016-11-19";0.6;"";0.1;"Format (data.format), Model (data.model)";"";""
"data.format";"  Format";"2016-11-01";"2016-11-08";0.2;"";0.1;"PDF (data.format.pdf), OpenDocument text (data.format.odt), ePub (data.format.epub)";"";""
"data.format.pdf";"    PDF";"2016-11-01";"2016-11-08";0.2;"";0.1;"mutool (data.format.pdf.mutool), mupdf (data.format.pdf.mupdf)";"";""
"data.format.pdf.mutool";"      mutool";"2016-11-01";"2016-11-01";0.0;"";0.0;"Add zoom parameter to MuPDF calls (data.format.pdf.mutool.zoom)";"";""
"data.format.pdf.mutool.zoom";"        Add zoom parameter to MuPDF calls";"2016-11-01";"2016-11-01";0.0;"Zaki Mughal (zaki)";0.0;"";"";""
"data.format.pdf.mupdf";"      mupdf";"2016-11-01";"2016-11-08";0.2;"";0.1;"XS bindings (data.format.pdf.mupdf.xs)";"";""
"data.format.pdf.mupdf.xs";"        XS bindings";"2016-11-01";"2016-11-08";0.2;"Helen Bach (helen), Stanislav Yotov (stan)";0.1;"";"";""
"data.format.odt";"    OpenDocument text";"2016-11-01";"2016-11-01";0.0;"";0.0;"Write support (data.format.odt.write)";"";""
"data.format.odt.write";"      Write support";"2016-11-01";"2016-11-01";0.0;"";0.0;"";"";"https://github.com/project-renard/curie/issues/55"
"data.format.epub";"    ePub";"2016-11-01";"2016-11-01";0.0;"";0.0;"";"";""
"data.model";"  Model";"2016-11-13";"2016-11-19";0.2;"";0.0;"Refactor views into view-models (data.model.refactor_201611), Viewports (data.model.viewports), Split view models into separate packages (data.model.split_201612)";"";""
"data.model.refactor_201611";"    Refactor views into view-models";"2016-11-13";"2016-11-15";0.1;"Zaki Mughal (zaki)";0.0;"";"";"https://github.com/project-renard/curie/issues/150"
